step,iter,time_days,proj_res,aa_step_res,mech_iters,fab_iters,stim_iters,dens_iters,mech_time,fab_time,stim_time,dens_time,accepted,restart,condH,aa_hist,memory_mb
1,1,25.0,0.9055136980261039,0.45275684901305197,38,7,7,6,0.32626594603061676,0.5011389210121706,0.008555560023523867,0.004173688008449972,1,0,1.0,1,458.16015625
1,2,25.0,0.4445384375638487,0.22707636569380152,39,7,7,5,0.2841177190421149,0.4963363129645586,0.0022232900373637676,0.0032251719385385513,1,0,101.60611400195367,2,460.41015625
1,3,25.0,0.23542022484772346,0.11728296141640254,39,7,7,5,0.36575054994318634,0.4965158560080454,0.0022436080034822226,0.0033138219732791185,1,0,185.03897476685526,3,460.4453125
1,4,25.0,0.11241148014238082,0.0610518340966829,39,6,7,5,0.28763436200097203,0.4545275919372216,0.002306167036294937,0.0032780609326437116,1,0,1143.4707529229702,4,461.43359375
1,5,25.0,0.06460707249603576,0.06079618352972388,38,6,6,5,0.3243735060095787,0.4810225289547816,0.002175639965571463,0.0035431249998509884,1,0,1588.2141527965805,5,461.43359375
1,6,25.0,0.024829883071213688,0.01349677191407102,38,5,6,5,0.27204450801946223,0.458813508041203,0.0021207559620961547,0.003872917965054512,1,0,5634.828931271578,6,461.47265625
1,7,25.0,0.015603359726220652,0.006904625063393037,38,5,6,4,0.31645380798727274,0.43197468703147024,0.013403737102635205,0.0030094969552010298,1,0,3107.8543848964973,6,461.8515625
1,8,25.0,0.008482592005752179,0.003558604387201626,38,5,6,4,0.289792237104848,0.41743998299352825,0.008644468965940177,0.0029967629816383123,1,0,2542.9902308100013,6,461.8515625
1,9,25.0,0.0037773654837462813,0.001605319606923061,38,4,5,4,0.34021538600791246,0.4021479219663888,0.002726607955992222,0.007492142030969262,1,0,3209.1705080074935,6,461.859375
1,10,25.0,0.002557102413975982,0.0006777533936095657,38,4,5,4,0.3191842559026554,0.4064626010367647,0.0017835720209404826,0.0030560969607904553,1,0,5420.849658110153,6,462.109375
1,11,25.0,0.0009851809418054184,0.0003032800662725104,38,4,5,3,0.30300613190047443,0.3865819509373978,0.001824118080548942,0.005474943085573614,1,0,3374.6224995782063,6,462.109375
1,12,25.0,0.0004928841563546218,0.00020585253414811646,38,3,4,3,0.26871066878084093,0.36140974902082235,0.0015553929843008518,0.002837061998434365,1,0,6433.195343006208,6,462.109375
1,13,25.0,0.0002000296515833698,9.261661032355714e-05,38,3,4,3,0.3004548669559881,0.4207386210327968,0.005460017011500895,0.003145813010632992,1,0,9537.681703088327,6,462.109375
1,14,25.0,7.835895334412527e-05,3.482769679491719e-05,38,2,4,2,0.27789619902614504,0.36514925106894225,0.0018674429738894105,0.0028308099135756493,1,0,10303.978000265792,6,462.109375
